"61","            Jewelry and watches (part of 119)",73084,74421,76948,75924,71627,55724,88809,89594,104067,114735,118770
"62","                Jewelry",59750,60732,62756,61892,58339,44981,72545,73272,85201,94011,97418
"63","                Watches",13333,13689,14192,14032,13288,10743,16263,16321,18866,20724,21351
"64","            Therapeutic appliances and equipment (42)",71160,71165,71237,73096,71709,57528,72185,74521,81499,82668,81394
"65","                Therapeutic medical equipment",32830,33011,33103,33548,33263,29112,34588,35189,38080,38866,38326
"66","                Corrective eyeglasses and contact lenses",38331,38154,38134,39548,38446,28416,37597,39331,43420,43802,43068
"67","            Educational books (96)",9920,10226,9999,10242,9959,9681,10873,11069,12076,12778,12963
"68","            Luggage and similar personal items (part of 119)",30773,31591,31706,31792,28831,20634,31631,32404,35351,38751,40133
"69","            Telephone and related communication equipment",29670,29789,29491,28225,26389,20288,25259,25466,28666,30648,30512
"70","    Nondurable goods",2909515,2970143,2981274,3001600,3046028,2881659,3113894,3108072,3287185,3437637,3509952
"71","        Food and beverages purchased for off-premises consumption",1013441,1027365,1041340,1041498,1125137,1152114,1159491,1149962,1201534,1223364,1246953
"72","            Food and nonalcoholic beverages purchased for off-premises consumption (4)",869611,881547,893200,892978,965465,984199,987054,980307,1021968,1041529,1066300
"73","                Food purchased for off-premises consumption",770967,781321,791660,791578,857503,877832,877645,871154,907433,924441,946844
"74","                    Cereals and bakery products",145729,147828,149746,148991,161369,165104,165027,163603,170968,174413,178571
"75","                        Cereals",53336,53921,54732,54939,60216,62437,62128,61518,63656,64798,66358
"76","                        Bakery products",92393,93906,95014,94052,101153,102667,102899,102085,107313,109615,112213
"77","                    Meats and poultry",173327,175476,178448,179861,197086,206095,205104,202562,209693,213470,218649
"78","                        Beef and veal",47572,48145,49002,49496,54346,56964,56731,56001,57945,58973,60396
"79","                        Pork",34708,35126,35751,36112,39651,41561,41391,40858,42277,43027,44065
"80","                        Other meats",34741,35220,35696,35668,38765,40147,39834,39420,40886,41668,42702
"81","                        Poultry",56307,56985,57999,58585,64325,67423,67148,66283,68585,69802,71486
"82","                    Fish and seafood",14982,15224,15559,15758,17382,18522,18716,18477,19096,19456,19881
"83","                    Milk, dairy products, and eggs",88277,89380,90273,89727,96833,98787,98384,97788,102212,104001,106571
"84","                        Fresh milk",24608,24882,25168,25157,27298,28007,27926,27728,28991,29454,30179
"85","                        Processed dairy products",50814,51499,51956,51428,55274,56149,55869,55574,58075,59160,60626
"86","                        Eggs",12856,12999,13148,13143,14261,14631,14589,14486,15146,15387,15766
"87","                    Fats and oils",23113,23366,23717,23807,26094,27056,26922,26658,27584,28079,28756
"88","                    Fresh fruits and vegetables",90714,92053,93049,92146,99252,101645,100847,99993,103643,105574,108400
"89","                        Fruit (fresh)",40947,41551,42001,41593,44801,45881,45521,45135,46783,47654,48930
"90","                        Vegetables (fresh)",49767,50502,51048,50553,54451,55764,55327,54858,56860,57920,59470
"91","                    Processed fruits and vegetables",30229,30603,31015,30975,33733,34819,34609,34287,35500,36146,37052
"92","                    Sugar and sweets",48307,49087,49423,49330,51925,49956,50768,51156,54176,55308,56660
"93","                    Food products, not elsewhere classified",156289,158305,160431,160981,173830,175847,177268,176631,184560,187994,192305
"94","                Nonalcoholic beverages purchased for off-premises consumption",98644,100226,101539,101401,107962,106368,109408,109153,114535,117089,119456
"95","                    Coffee, tea, and other beverage materials",16313,16516,16755,16793,18253,18658,18737,18593,19316,19686,20138
"96","                    Mineral waters, soft drinks, and vegetable juices",82331,83710,84784,84607,89708,87710,90671,90560,95220,97402,99317
"97","            Alcoholic beverages purchased for off-premises consumption (5)",143360,145334,147646,148019,159169,167409,171928,169142,179048,181313,180130
"98","                Spirits",31849,32245,32772,32900,35349,37685,39009,38233,40732,41155,40405
"99","                Wine",45296,45818,46457,46476,49946,52543,53855,52976,56062,56785,56399
"100","                Beer",66215,67271,68417,68642,73874,77181,79064,77932,82253,83373,83326
"101","            Food produced and consumed on farms (6)",470,484,494,500,503,506,509,513,518,521,523
"102","        Clothing and footwear",393358,398285,400000,401018,366262,293634,394242,395605,436819,476952,480769
"103","            Garments",305242,309918,311321,312622,285654,224452,304194,304236,336479,367589,373134
"104","                Women's and girls' clothing (10)",182789,185578,186062,187191,169702,130305,181072,181150,200721,219039,221951
"105","                Men's and boys' clothing (11)",103972,105577,106335,106562,98003,78920,104395,104530,115346,126617,128874
"106","                Children's and infants' clothing (12)",18481,18763,18924,18869,17949,15227,18727,18555,20412,21934,22309
"107","            Other clothing materials and footwear (13 and 17)",88116,88368,88679,88396,80608,69182,90047,91368,100340,109362,107635
"108","                Clothing materials",4398,4478,4408,4469,4390,4480,5220,5110,5385,5454,5354
"109","                Standard clothing issued to military personnel",442,449,451,449,442,435,430,425,422,422,424
"110","                Shoes and other footwear",83276,83441,83820,83479,75776,64266,84398,85833,94532,103487,101857
"111","        Gasoline and other energy goods",323855,350140,332828,343650,305160,188522,245433,247914,300287,345451,377085
"112","            Motor vehicle fuels, lubricants, and fluids (59)",302840,329145,312014,322680,287143,170975,226796,230048,278505,322353,353789
"113","                Gasoline and other motor fuel",295143,321840,304521,315304,280044,165380,220143,223656,271900,315265,346262
"114","                Lubricants and fluids",7696,7305,7493,7376,7098,5595,6653,6392,6605,7088,7527
"115","            Fuel oil and other fuels (29)",21016,20995,20813,20970,18018,17547,18637,17865,21782,23097,23296
"116","                Fuel oil",19227,19208,19042,19185,16484,16054,17051,16345,19928,21132,21314
"117","                Other fuels",1788,1787,1771,1784,1533,1493,1586,1520,1854,1965,1982
"118","        Other nondurable goods",1178860,1194353,1207107,1215435,1249469,1247389,1314729,1314592,1348545,1391871,1405145
"119","            Pharmaceutical and other medical products (40 and 41)",532932,539040,547067,557175,578150,557512,582236,589098,572587,592268,597634
"120","                Pharmaceutical products",526547,532620,540629,550651,571681,551851,575509,582255,565181,584710,590181
"121","                    Prescription drugs",452963,457978,465304,475572,494068,475853,493639,500441,478055,495350,499708
"122","                    Nonprescription drugs",73584,74642,75325,75079,77613,75998,81870,81814,87127,89360,90473
"123","                Other medical products",6385,6420,6438,6524,6469,5662,6726,6843,7406,7558,7454
"124","            Recreational items (parts of 80, 92, and 93)",175590,178526,179058,176934,178467,185149,200800,198190,216523,225459,229547
"125","                Games, toys, and hobbies",68995,70505,70299,67592,68398,74134,81795,78703,87958,91576,92267
"126","                Pets and related products",68896,69386,70171,69627,71127,72943,77409,77600,82950,85846,88032
"127","                Flowers, seeds, and potted plants",36037,36945,36874,37999,37228,36467,39734,40039,43563,45895,47118
"128","                Film and photographic supplies",1662,1690,1714,1717,1713,1605,1862,1848,2053,2142,2130
"129","            Household supplies (parts of 32 and 36)",143087,145682,147521,147986,154297,158847,168897,166241,179261,183970,185955
"130","                Household cleaning products",38269,38561,38945,39317,42379,43778,44594,44082,46849,47851,48343
"131","                Household paper products",39360,39825,40188,40334,43229,44056,44755,44269,47033,48060,48912
"132","                Household linens",40985,41689,42068,41979,41719,39136,46157,45082,49429,51187,52046
"133","                Sewing items",1807,1845,1827,1837,1806,1839,2166,2113,2267,2313,2282
"134","                Miscellaneous household products",22666,23762,24493,24519,25163,30038,31226,30695,33683,34559,34372
"135","            Personal care products (part of 118)",139200,140588,140714,140591,142839,136393,148676,148005,160341,164672,166552
"136","                Hair, dental, shaving, and miscellaneous personal care products except electrical products",75818,76650,76747,76401,78835,76616,81246,80715,86761,89167,90780
"137","                Cosmetic / perfumes / bath / nail preparations and implements",54090,54472,54420,54646,54243,49547,56390,56502,61781,63408,63593
"138","                Electric appliances for personal care",9292,9466,9548,9544,9761,10230,11040,10788,11798,12097,12179
"139","            Tobacco (127)",99774,99307,99954,100053,101074,104121,104572,104259,104326,107270,107775
"140","            Magazines, newspapers, and stationery (part of 90)",77029,79881,81241,81097,83307,94566,98893,97149,105808,108192,107850
"141","                Newspapers and periodicals",51043,53346,54643,54677,56295,68111,69863,68436,75021,76208,75409
"142","                Stationery and miscellaneous printed materials",25986,26535,26599,26420,27012,26455,29030,28713,30787,31984,32442
"143","            Net expenditures abroad by U.S. residents (131)",11247,11329,11552,11598,11336,10801,10655,11650,9701,10040,9831
"144","                Expenditures abroad by U.S. residents",12469,12667,12917,13154,12821,12130,12238,12651,11168,11127,11229
"145","                    Government employees' expenditures abroad",10812,10985,11235,11501,11316,11271,11311,11714,10150,10060,10133
"146","                    Private employees' expenditures abroad",1657,1682,1683,1653,1506,859,927,937,1018,1067,1096
"147","                Less: Personal remittances in kind to nonresidents",1221,1337,1365,1556,1485,1329,1584,1001,1467,1087,1398
"148","Services",9772746,9896347,10016772,10113165,9908154,8639817,9426643,9600360,9760419,10151909,10446478
"149","    Household consumption expenditures (for services)",9336650,9459052,9571467,9672303,9387654,8062770,8932091,9108956,9281694,9684841,9969234
"150","        Housing and utilities",2534726,2554133,2585343,2611833,2622579,2667698,2682553,2699745,2727182,2753433,2789308
"151","            Housing",2182884,2210524,2236039,2260615,2286954,2308274,2325827,2341546,2359510,2383760,2411778
"152","                Rental of tenant-occupied nonfarm housing (20)",528090,534631,540586,546201,552420,557490,561293,564827,568226,572751,578112
"153","                    Tenant-occupied mobile homes",11462,11583,11691,11790,11901,11986,12059,12137,12221,12332,12462
"154","                    Tenant-occupied stationary homes and landlord durables",516628,523048,528895,534411,540519,545504,549234,552690,556005,560418,565650
"155","                        Tenant-occupied stationary homes","---","---","---","---","---","---","---","---","---","---","---"
"156","                        Tenant landlord durables","---","---","---","---","---","---","---","---","---","---","---"
"157","                        Tenant-occupied, including landlord durables",516628,523048,528895,534411,540519,545504,549234,552690,556005,560418,565650
"158","                Imputed rental of owner-occupied nonfarm housing (21)",1630791,1651809,1671218,1689950,1709837,1726091,1739534,1751515,1765964,1785542,1808001
"159","                    Owner-occupied mobile homes",69719,70646,71515,72357,73249,73937,74558,75127,75810,76717,77752
"160","                    Owner-occupied stationary homes",1561073,1581163,1599703,1617593,1636587,1652154,1664976,1676388,1690154,1708824,1730249
"161","                Rental value of farm dwellings (22)",21960,22030,22171,22392,22695,22939,23120,23265,23361,23493,23671
"162","                Group housing (23)",2042,2055,2064,2072,2002,1754,1880,1939,1959,1974,1994
"163","            Household utilities",351842,343609,349303,351218,335625,359425,356726,358199,367672,369673,377530
"164","                Water supply and sanitation (25)",107301,108835,109560,109879,110844,111562,112902,114169,115473,116652,118192
"165","                    Water supply and sewage maintenance",78508,79266,79909,80673,81273,81937,82821,83554,84130,84776,85682
"166","                    Garbage and trash collection",28792,29569,29650,29205,29570,29625,30081,30615,31343,31876,32511
"167","                Electricity and gas",244542,234774,239744,241339,224781,247863,243824,244029,252199,253021,259338
"168","                    Electricity (27)",186557,181276,188336,186981,178675,194295,191540,194232,198252,197842,202167
"169","                    Natural gas (28)",57985,53498,51407,54358,46105,53568,52284,49798,53947,55179,57171
"170","        Health care",2408726,2449708,2469921,2504266,2406893,2000289,2369192,2457229,2464208,2534433,2578450
"171","            Outpatient services",1098879,1126518,1139413,1157710,1135418,905221,1089138,1127905,1131550,1163407,1181968
"172","                Physician services (44)",569922,583074,590377,600939,594485,469810,562923,580869,585697,599466,606916
"173","                Dental services (45)",135625,139866,140786,142538,130192,78185,115118,118477,119577,128598,129925
"174","                Paramedical services (46)",393332,403579,408249,414232,410740,357227,411097,428558,426275,435343,445126
"175","                    Home health care",123327,127495,128305,127822,129245,121228,131591,135524,131937,135360,137409
"176","                    Medical laboratories",39771,40270,40169,40215,38804,34570,43666,47796,48887,45398,48615
"177","                    Other professional medical services",230234,235814,239775,246195,242691,201429,235840,245238,245451,254585,259102
"178","                        Specialty outpatient care facilities and health and allied services",165065,169035,172062,177693,176702,141732,168528,175350,177019,181686,184828
"179","                        All other professional medical services",65170,66779,67713,68503,65990,59697,67312,69887,68432,72898,74275
"180","            Hospital and nursing home services",1309847,1323190,1330508,1346556,1271475,1095068,1280053,1329325,1332659,1371026,1396482
"181","                Hospitals (51)",1115871,1129517,1135965,1151854,1077703,915996,1103756,1148066,1155533,1189782,1213694
"182","                    Nonprofit hospitals' services to households",761506,770094,773607,784551,723859,623454,744576,782856,789585,814545,832946
"183","                    Proprietary hospitals",130943,133947,134322,135930,129580,107917,132270,134936,134284,141208,145654
"184","                    Government hospitals",223422,225476,228036,231373,224264,184625,226910,230273,231664,234029,235094
"185","                Nursing homes (52)",193976,193673,194543,194702,193772,179072,176297,181259,177126,181245,182788
"186","                    Nonprofit nursing homes' services to households",60869,60665,60577,61068,60902,57349,56049,57631,56580,58903,56735
"187","                    Proprietary and government nursing homes",133108,133008,133966,133634,132870,121723,120248,123628,120546,122342,126053
"188","        Transportation services",479631,492203,502172,507255,467287,291235,342457,352785,356800,417315,457861
"189","            Motor vehicle services",301570,311120,314876,316005,307016,257533,283991,280545,281473,304004,316486
"190","                Motor vehicle maintenance and repair (60)",188942,197047,200255,201257,197257,168358,186200,181190,180016,190869,198368
"191","                Other motor vehicle services (61)",112628,114074,114621,114748,109759,89176,97791,99355,101457,113135,118118
"192","                    Motor vehicle leasing",66536,66940,67247,67396,66537,64027,64878,65065,64614,64156,63746
"193","                        Auto leasing",32404,31835,31211,30574,29648,27864,27784,27171,26365,25531,24737
"194","                        Truck leasing",34132,35105,36036,36823,36889,36163,37095,37894,38249,38625,39009
"195","                    Motor vehicle rental",19762,20495,20607,20450,19337,13778,16344,17533,18279,29247,33371
"196","                    Parking fees and tolls",26329,26639,26767,26902,23885,11371,16569,16757,18563,19732,21002
"197","            Public transportation",178062,181082,187296,191250,160271,33702,58466,72240,75327,113311,141374
"198","                Ground transportation (63)",58978,58314,60769,61542,53028,16193,23511,26893,27626,32577,38922
"199","                    Railway transportation",1338,1377,1347,1332,1040,115,245,228,256,492,722
"200","                    Road transportation",57640,56938,59422,60210,51988,16078,23266,26665,27370,32086,38200
"201","                        Intercity buses",1268,1359,1423,1239,1102,886,598,623,654,686,787
"202","                        Taxicabs and ride sharing services",13133,12135,13002,13829,11909,3862,6563,7772,7740,8555,9968
"203","                        Intracity mass transit",21064,21307,21565,21274,18738,4106,5481,5949,6161,8225,10328
"204","                        Other road transportation service",22175,22138,23432,23868,20240,7224,10624,12321,12815,14619,17117
"205","                Air transportation (64)",114751,118525,122357,125787,103973,16613,33977,44032,45765,78713,100427
"206","                Water transportation (65)",4332,4243,4170,3921,3271,896,978,1314,1936,2021,2025
"207","        Recreation services",573716,582492,582808,594003,541712,303673,405678,414984,442457,490547,512962
"208","            Membership clubs, sports centers, parks, theaters, and museums (82)",215869,221202,219889,224397,193485,54920,82326,85269,92547,114517,121553
"209","                Membership clubs and participant sports centers",57841,59443,59537,59042,56159,28912,41305,40186,42602,49011,49618
"210","                Amusement parks, campgrounds, and related recreational services",70133,71094,69073,70441,59099,12354,23472,24680,28651,36493,39059
"211","                Admissions to specified spectator amusements",78126,80855,81360,84873,68580,6827,9566,11587,12799,19782,23074
"212","                    Motion picture theaters",12915,14678,14032,13335,9785,138,827,809,977,1664,2817
"213","                    Live entertainment, excluding sports",36988,36989,38858,40714,32747,4027,3982,4117,4170,5384,5955
"214","                    Spectator sports",28223,29188,28470,30824,26048,2663,4757,6661,7653,12735,14302
"215","                Museums and libraries",9769,9811,9919,10042,9647,6827,7984,8816,8495,9230,9802
"216","            Audio-video, photographic, and information processing equipment services (parts of 77 and 93)",148159,148515,149670,151642,150513,143329,148176,150541,152092,158258,163126
"217","                Cable, satellite, and other live television services",98011,97352,97880,98036,96525,95516,96078,97069,97528,98892,99010
"218","                Photo processing",1501,1415,1367,1359,1220,758,1211,1292,1341,1405,1473
"219","                Photo studios",8312,8386,8310,8240,6580,1318,2384,2528,2517,3618,4463
"220","                Repair and rental of audio-visual, photographic, and information processing equipment",8286,8389,8061,8349,8702,7097,7630,7641,7866,7788,8131
"221","                Video and audio streaming and rental",32049,32973,34052,35659,37486,38639,40874,42012,42840,46556,50049
"222","                    Video streaming and rental",20868,21170,22203,23858,25527,26481,27984,28713,29488,32619,35698
"223","                    Audio streaming and radio services (including satellite radio)",11181,11803,11849,11801,11959,12158,12890,13298,13352,13937,14351
"224","            Gambling (91)",139309,141363,141241,144899,131220,65494,121109,122600,137745,151740,157062
"225","                Casino gambling",106893,108699,108508,112132,98467,37427,90868,90704,104337,117662,121670
"226","                Lotteries",28307,28419,28427,28572,28610,26388,26514,28237,29212,29916,30517
"227","                Pari-mutuel net receipts",4108,4245,4306,4195,4143,1679,3727,3659,4195,4162,4875
"228","            Other recreational services (81, 94, and part of 92)",70380,71411,72007,73065,66494,39930,54067,56574,60073,66032,71221
"229","                Veterinary and other services for pets",47760,48451,48932,49598,47491,34448,44692,47084,49136,51174,53667
"230","                Package tours",16469,16750,16826,17077,13509,2726,5283,5243,6349,9545,11751
"231","                Maintenance and repair of recreational vehicles and sports equipment",6151,6210,6250,6391,5494,2756,4092,4247,4589,5313,5803
"232","        Food services and accommodations",986910,1006812,1019355,1020003,933567,616784,829765,826074,888345,1028749,1082136
"233","            Food services",828943,848848,862653,863078,799177,581313,759814,752695,803988,922489,950740
"234","                Purchased meals and beverages (102)",806432,826315,839956,840204,776540,564132,740542,733198,784822,902850,932848
"235","                    Meals and nonalcoholic beverages",692924,709704,721185,721427,668669,491985,641850,636174,679384,778062,802195
"236","                        Meals at schools",24599,24481,24598,24789,22545,2655,7389,9918,8694,7692,8840
"237","                            Elementary and secondary school lunches",6910,6841,6850,6892,5810,3,765,1645,1349,1204,1139
"238","                            Higher education school lunches",17689,17640,17748,17896,16736,2652,6623,8273,7345,6489,7702
"239","                        Other purchased meals",668325,685223,696588,696639,646124,489330,634461,626256,670690,770369,793355
"240","                            Meals at limited service eating places",352674,359480,362662,364270,345212,305685,365092,368084,383721,412872,415941
"241","                            Meals at other eating places",310396,320183,328241,326682,296007,182189,266567,255441,283452,352465,371876
"242","                            Meals at drinking places",5254,5560,5684,5687,4904,1456,2802,2731,3518,5032,5538
"243","                    Alcohol in purchased meals",113508,116611,118770,118777,107870,72147,98692,97024,105438,124788,130653
"244","                Food furnished to employees (including military) (103)",22511,22533,22697,22873,22637,17181,19272,19498,19166,19639,17892
"245","                    Food supplied to civilians",20455,20493,20625,20770,20506,15021,17166,17467,17489,18189,16630
"246","                    Food supplied to military",2056,2041,2072,2103,2131,2160,2106,2031,1677,1450,1262
"247","            Accommodations (104)",157967,157964,156702,156926,134390,35471,69951,73378,84357,106259,131396
"248","                Hotels and motels",119945,119730,118250,118246,97972,29582,54815,53523,62708,84129,100707
"249","                Housing at schools",38022,38234,38452,38680,36418,5890,15136,19855,21649,22130,30689
"250","        Financial services and insurance",1156285,1166554,1176984,1186518,1193935,1168700,1200473,1222023,1244898,1256390,1276065
"251","            Financial services",723573,736599,747074,755420,759001,738878,754775,772886,794589,802561,817031
"252","                Financial services furnished without payment (107)",373546,375079,376003,376863,371805,373557,377633,382626,388505,398010,400733
"253","                    Commercial banks",187424,186636,185521,182621,171013,174265,167850,168292,161848,162058,159804
"254","                    Other depository institutions and regulated investment companies",128615,128070,128775,131354,135758,136777,144422,147535,155004,162069,166592
"255","                    Pension funds",57507,60373,61707,62888,65034,62515,65362,66799,71653,73883,74336
"256","                Financial service charges, fees, and commissions (108)",350027,361520,371071,378557,387195,365321,377142,390260,406084,404550,416298
"257","                    Financial service charges and fees",110779,112507,114172,116009,117445,97977,109526,112464,114153,108772,110297
"258","                    Securities commissions",28174,30764,31165,28943,35041,30299,29356,29391,31103,29676,29857
"259","                        Direct commissions",7584,8236,7342,8388,9558,6621,6808,6943,7586,7112,7089
"260","                            Exchange-listed equities",2441,2589,2438,1696,3257,3223,2753,2688,3135,2774,2915
"261","                            Other direct commissions",5143,5647,4904,6692,6301,3398,4054,4255,4451,4338,4173
"262","                        Indirect commissions",11052,12555,13770,10542,15270,14818,13178,12501,12954,11508,11651
"263","                            Over-the-counter equity securities",1026,1102,1237,1417,2336,3195,4419,4365,4993,4428,4419
"264","                            Other imputed commissions",10025,11453,12533,9126,12934,11623,8759,8136,7961,7080,7232
"265","                        Mutual fund sales charges",9539,9974,10053,10013,10213,8860,9370,9946,10563,11056,11117
"266","                    Portfolio management and investment advice services",196189,202941,210446,218113,219254,221430,222231,231968,243791,248608,258096
"267","                    Trust, fiduciary, and custody activities",14885,15308,15288,15492,15455,15615,16030,16437,17038,17494,18048
"268","            Insurance",432712,429955,429909,431097,434935,429822,445698,449137,450309,453830,459035
"269","                Life insurance (110)",94295,92777,91372,90818,91227,93008,94592,95337,96506,96248,96445
"270","                Net household insurance (111)",10786,11005,11175,11266,11391,11474,11492,11531,11572,11582,11610
"271","                    Household insurance premiums and premium supplements",22906,23363,23772,24075,24494,24799,24923,25050,25227,25373,25563
"272","                    Less: Household insurance normal losses",12120,12358,12597,12809,13104,13326,13431,13519,13656,13792,13953
"273","                Net health insurance (112)",246277,243566,243175,245115,247908,251319,254180,256665,259545,262910,266037
"274","                    Medical care and hospitalization",206058,203114,202422,204100,207902,211832,215420,218644,221549,224428,227345
"275","                    Income loss",3592,3647,3688,3744,3786,3781,3842,3877,3930,4035,4126
"276","                    Workers' compensation",36627,36805,37065,37272,36221,35706,34918,34144,34065,34446,34567
"277","                Net motor vehicle and other transportation insurance (116)",81354,82606,84187,83897,84409,74022,85433,85603,82687,83091,84942
"278","        Other services",1196655,1207151,1234884,1248425,1221681,1014391,1101973,1136116,1157803,1203974,1272452
"279","            Communication",247437,246988,247792,247391,248234,246670,249470,256149,260117,264340,265770
"280","                Telecommunication services (71)",160317,159347,159956,159973,159547,157450,159164,162813,165466,167728,168850
